quarter_index,label,investment_call,mgmt_fee_call,total_call
1,Q1 2022,6000000.0,250000.0,6250000.0
2,Q2 2022,5500000.0,250000.0,5750000.0
3,Q3 2022,4500000.0,250000.0,4750000.0
4,Q4 2022,5000000.0,250000.0,5250000.0
5,Q1 2023,4000000.0,250000.0,4250000.0
6,Q2 2023,5000000.0,250000.0,5250000.0
7,Q3 2023,4500000.0,250000.0,4750000.0
8,Q4 2023,3500000.0,250000.0,3750000.0
9,Q1 2024,4000000.0,250000.0,4250000.0
10,Q2 2024,3500000.0,250000.0,3750000.0
11,Q3 2024,0.0,250000.0,250000.0
12,Q4 2024,0.0,250000.0,250000.0
13,Q1 2025,0.0,227500.0,227500.0
14,Q2 2025,0.0,227500.0,227500.0
15,Q3 2025,0.0,197500.0,197500.0
16,Q4 2025,0.0,197500.0,197500.0
17,Q1 2026,0.0,170000.0,170000.0
18,Q2 2026,0.0,170000.0,170000.0
