quarter_index,label,lp_id,lp_name,beginning_balance,contributions,dist_return_of_capital,dist_preferred_return,dist_carry_split,total_cash_distributions,gain_loss_allocation_net_of_fees,carried_interest_allocated_to_gp,ending_balance
1,Q1 2022,LP-01,Northbridge State Pension Fund,0.0,1000000.0,0.0,0.0,0.0,0.0,-40000.0,-0.0,960000.0
1,Q1 2022,LP-02,Meridian University Endowment,0.0,750000.0,0.0,0.0,0.0,0.0,-30000.0,-0.0,720000.0
1,Q1 2022,LP-03,Harborview Insurance Co.,0.0,687500.0,0.0,0.0,0.0,0.0,-27500.0,-0.0,660000.0
1,Q1 2022,LP-04,Cascade Partners Fund of Funds,0.0,625000.0,0.0,0.0,0.0,0.0,-25000.0,-0.0,600000.0
1,Q1 2022,LP-05,Elmwood Family Office,0.0,500000.0,0.0,0.0,0.0,0.0,-20000.0,-0.0,480000.0
1,Q1 2022,LP-06,Tanager Sovereign Partners,0.0,500000.0,0.0,0.0,0.0,0.0,-20000.0,-0.0,480000.0
1,Q1 2022,LP-07,Birchwood College Endowment,0.0,375000.0,0.0,0.0,0.0,0.0,-15000.0,-0.0,360000.0
1,Q1 2022,LP-08,Kestrel Insurance Group,0.0,312500.0,0.0,0.0,0.0,0.0,-12500.0,-0.0,300000.0
1,Q1 2022,LP-09,Wrenfield Family Office,0.0,250000.0,0.0,0.0,0.0,0.0,-10000.0,-0.0,240000.0
1,Q1 2022,LP-10,Alder Street Foundation,0.0,250000.0,0.0,0.0,0.0,0.0,-10000.0,-0.0,240000.0
1,Q1 2022,LP-11,Pinecrest Pension Trust,0.0,225000.0,0.0,0.0,0.0,0.0,-9000.0,-0.0,216000.0
1,Q1 2022,LP-12,Ivywood Capital Partners (FoF),0.0,187500.0,0.0,0.0,0.0,0.0,-7500.0,-0.0,180000.0
1,Q1 2022,LP-13,Grayling Family Office,0.0,187500.0,0.0,0.0,0.0,0.0,-7500.0,-0.0,180000.0
1,Q1 2022,LP-14,Redstone Family Office,0.0,200000.0,0.0,0.0,0.0,0.0,-8000.0,-0.0,192000.0
