quarter_index,label,beginning_nav,contributions,management_fees,realized_gain_loss,unrealized_gain_loss,distributions,ending_nav
1,Q1 2022,0.0,6250000.0,-250000.0,0,0.0,0,6000000.0
2,Q2 2022,6000000.0,5750000.0,-250000.0,0,657424.54,0,12157424.54
3,Q3 2022,12157424.54,4750000.0,-250000.0,0,896533.37,0,17553957.91
4,Q4 2022,17553957.91,5250000.0,-250000.0,0,1008642.5,0,23562600.41
5,Q1 2023,23562600.41,4250000.0,-250000.0,0,1485986.85,0,29048587.26
6,Q2 2023,29048587.26,5250000.0,-250000.0,0,1163810.53,0,35212397.79
7,Q3 2023,35212397.79,4750000.0,-250000.0,0,2059134.68,0,41771532.47
8,Q4 2023,41771532.47,3750000.0,-250000.0,0,2512421.29,0,47783953.76
9,Q1 2024,47783953.76,4250000.0,-250000.0,0,2864578.8,0,54648532.56
10,Q2 2024,54648532.56,3750000.0,-250000.0,0,3303626.81,0,61452159.37
11,Q3 2024,61452159.37,250000.0,-250000.0,0,3663717.05,0,65115876.42
12,Q4 2024,65115876.42,250000.0,-250000.0,0,4363782.81,0,69479659.23
13,Q1 2025,69479659.23,227500.0,-227500.0,13411886.99,-8476207.73,-19411886.99,55003451.5
14,Q2 2025,55003451.5,227500.0,-227500.0,0,2950760.29,0,57954211.79
15,Q3 2025,57954211.79,197500.0,-197500.0,5493565.54,-2629954.19,-10993565.54,49824257.6
16,Q4 2025,49824257.6,197500.0,-197500.0,0,2378162.43,0,52202420.03
17,Q1 2026,52202420.03,170000.0,-170000.0,9803878.73,-7010181.79,-14803878.73,40192238.24
18,Q2 2026,40192238.24,170000.0,-170000.0,8495229.19,-6991460.6,-19995229.19,21700777.64
