company_id,company_name,sector,quarter_index,cost_basis,fair_value
PC-01,Vantage Robotics,Industrial Tech,1,6000000,6000000
PC-01,Vantage Robotics,Industrial Tech,2,6000000,6657424.54
PC-01,Vantage Robotics,Industrial Tech,3,6000000,7252599.88
PC-01,Vantage Robotics,Industrial Tech,4,6000000,8095763.7
PC-01,Vantage Robotics,Industrial Tech,5,6000000,9060037.73
PC-01,Vantage Robotics,Industrial Tech,6,6000000,9746194.91
PC-01,Vantage Robotics,Industrial Tech,7,6000000,10579175.94
PC-01,Vantage Robotics,Industrial Tech,8,6000000,11710276.11
PC-01,Vantage Robotics,Industrial Tech,9,6000000,12884305.78
PC-01,Vantage Robotics,Industrial Tech,10,6000000,14233910.82
PC-01,Vantage Robotics,Industrial Tech,11,6000000,15546339.19
PC-01,Vantage Robotics,Industrial Tech,12,6000000,17383776.09
PC-01,Vantage Robotics,Industrial Tech,13,6000000,19411886.99
PC-02,Coastal Foods Group,Consumer,2,5500000,5500000
PC-02,Coastal Foods Group,Consumer,3,5500000,5801358.03
PC-02,Coastal Foods Group,Consumer,4,5500000,6193105.72
PC-02,Coastal Foods Group,Consumer,5,5500000,6562277.44
PC-02,Coastal Foods Group,Consumer,6,5500000,6848973.44
PC-02,Coastal Foods Group,Consumer,7,5500000,7249124.78
PC-02,Coastal Foods Group,Consumer,8,5500000,7557164.8
PC-02,Coastal Foods Group,Consumer,9,5500000,8044914.82
PC-02,Coastal Foods Group,Consumer,10,5500000,8474520.43
PC-02,Coastal Foods Group,Consumer,11,5500000,8913345.09
PC-02,Coastal Foods Group,Consumer,12,5500000,9321833.41
PC-02,Coastal Foods Group,Consumer,13,5500000,9961968.33
PC-02,Coastal Foods Group,Consumer,14,5500000,10481441.61
PC-02,Coastal Foods Group,Consumer,15,5500000,10993565.54
PC-03,Nimbus Data Systems,Software,3,4500000,4500000
PC-03,Nimbus Data Systems,Software,4,4500000,4273730.99
PC-03,Nimbus Data Systems,Software,5,4500000,4115537.28
PC-03,Nimbus Data Systems,Software,6,4500000,3952898.09
PC-03,Nimbus Data Systems,Software,7,4500000,3799490.02
PC-03,Nimbus Data Systems,Software,8,4500000,3653066.47
PC-03,Nimbus Data Systems,Software,9,4500000,3606032.2
PC-03,Nimbus Data Systems,Software,10,4500000,3421777.56
PC-03,Nimbus Data Systems,Software,11,4500000,3405070.27
PC-03,Nimbus Data Systems,Software,12,4500000,3428135.65
PC-03,Nimbus Data Systems,Software,13,4500000,3410854.63
PC-03,Nimbus Data Systems,Software,14,4500000,3424169.09
PC-03,Nimbus Data Systems,Software,15,4500000,3435328.2
PC-03,Nimbus Data Systems,Software,16,4500000,3440113.51
PC-03,Nimbus Data Systems,Software,17,4500000,3444627.39
PC-03,Nimbus Data Systems,Software,18,4500000,3449248.61
PC-04,Harbor Dental Partners,Healthcare Services,4,5000000,5000000
PC-04,Harbor Dental Partners,Healthcare Services,5,5000000,5310734.81
PC-04,Harbor Dental Partners,Healthcare Services,6,5000000,5601821.23
PC-04,Harbor Dental Partners,Healthcare Services,7,5000000,5923754.72
PC-04,Harbor Dental Partners,Healthcare Services,8,5000000,6288512.63
PC-04,Harbor Dental Partners,Healthcare Services,9,5000000,6518132.2
PC-04,Harbor Dental Partners,Healthcare Services,10,5000000,6845107.43
PC-04,Harbor Dental Partners,Healthcare Services,11,5000000,7176106.21
