quarter_index,year,quarter,label,quarter_end,in_investment_period
1,2022,1,Q1 2022,2022-03-31,True
2,2022,2,Q2 2022,2022-06-30,True
3,2022,3,Q3 2022,2022-09-30,True
4,2022,4,Q4 2022,2022-12-31,True
5,2023,1,Q1 2023,2023-03-31,True
6,2023,2,Q2 2023,2023-06-30,True
7,2023,3,Q3 2023,2023-09-30,True
8,2023,4,Q4 2023,2023-12-31,True
9,2024,1,Q1 2024,2024-03-31,True
10,2024,2,Q2 2024,2024-06-30,True
11,2024,3,Q3 2024,2024-09-30,True
12,2024,4,Q4 2024,2024-12-31,True
13,2025,1,Q1 2025,2025-03-31,False
14,2025,2,Q2 2025,2025-06-30,False
15,2025,3,Q3 2025,2025-09-30,False
16,2025,4,Q4 2025,2025-12-31,False
17,2026,1,Q1 2026,2026-03-31,False
18,2026,2,Q2 2026,2026-06-30,False
