quarter_index,label,distributable,tier1_return_of_capital,tier2_preferred_return,tier3_gp_catchup,tier4_carry_split_lp_80,tier4_carry_split_gp_20,total_to_lps,total_to_gp,cum_pref_accrued,cum_pref_paid
1,Q1 2022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Q2 2022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0
3,Q3 2022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365000.0,0.0
4,Q4 2022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700000.0,0.0
5,Q1 2023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140000.0,0.0
6,Q2 2023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665000.0,0.0
7,Q3 2023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2295000.0,0.0
8,Q4 2023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3020000.0,0.0
9,Q1 2024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3820000.0,0.0
10,Q2 2024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4705000.0,0.0
11,Q3 2024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5665000.0,0.0
12,Q4 2024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6630000.0,0.0
13,Q1 2025,19411886.99,19411886.99,0.0,0.0,0.0,0.0,19411886.99,0.0,7600000.0,0.0
14,Q2 2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8186312.26,0.0
15,Q3 2025,10993565.54,10993565.54,0.0,0.0,0.0,0.0,10993565.54,0.0,8777174.52,0.0
16,Q4 2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9152115.47,0.0
17,Q1 2026,14803878.73,14803878.73,0.0,0.0,0.0,0.0,14803878.73,0.0,9531006.42,0.0
18,Q2 2026,19995229.19,4480668.74,9617219.79,2404304.95,2794428.57,698607.14,16892317.1,3102912.09,9617219.79,9617219.79
